timesteps,episode,success
16496,458,0
16498,459,1
16548,460,0
16598,461,0
16648,462,0
16651,463,1
16656,464,1
16690,465,1
16740,466,0
16790,467,0
16840,468,0
16890,469,0
16940,470,0
16990,471,0
16995,472,1
17045,473,0
17051,474,1
17055,475,1
17105,476,0
17109,477,1
17122,478,1
17148,479,1
17155,480,1
17205,481,0
17216,482,1
17223,483,1
17232,484,1
17282,485,0
17304,486,1
17315,487,1
17319,488,1
17341,489,1
17391,490,0
17397,491,1
17406,492,1
17456,493,0
17461,494,1
17511,495,0
17531,496,1
17581,497,0
17585,498,1
17588,499,1
17597,500,1
17600,501,1
17604,502,1
17608,503,1
17610,504,1
17647,505,1
17697,506,0
17712,507,1
17762,508,0
17773,509,1
17783,510,1
17797,511,1
17805,512,1
17814,513,1
17817,514,1
17818,515,1
17824,516,1
17833,517,1
17835,518,1
17840,519,1
17853,520,1
17858,521,1
17866,522,1
17868,523,1
17873,524,1
17878,525,1
17884,526,1
17889,527,1
17895,528,1
17945,529,0
17964,530,1
17972,531,1
17976,532,1
18026,533,0
18076,534,0
18079,535,1
18113,536,1
18115,537,1
18118,538,1
18120,539,1
18170,540,0
18177,541,1
18181,542,1
18184,543,1
18220,544,1
18270,545,0
18273,546,1
18282,547,1
18287,548,1
18303,549,1
18331,550,1
18335,551,1
18342,552,1
18345,553,1
18348,554,1
18364,555,1
18368,556,1
18377,557,1
18382,558,1
18390,559,1
18396,560,1
18409,561,1
18410,562,1
18414,563,1
18420,564,1
18427,565,1
18443,566,1
18447,567,1
18451,568,1
18460,569,1
18510,570,0
18517,571,1
18525,572,1
18527,573,1
18539,574,1
18541,575,1
18544,576,1
18548,577,1
18551,578,1
18552,579,1
18559,580,1
18609,581,0
18623,582,1
18631,583,1
18633,584,1
18663,585,1
18665,586,1
18715,587,0
18718,588,1
18722,589,1
18772,590,0
18822,591,0
18825,592,1
18827,593,1
18832,594,1
18882,595,0
18885,596,1
18888,597,1
18892,598,1
18942,599,0
18967,600,1
18970,601,1
18978,602,1
18981,603,1
18997,604,1
19008,605,1
19009,606,1
19028,607,1
19038,608,1
19056,609,1
19074,610,1
19077,611,1
19080,612,1
19130,613,0
19132,614,1
19133,615,1
19138,616,1
19140,617,1
19153,618,1
19175,619,1
19178,620,1
19182,621,1
19187,622,1
19191,623,1
19202,624,1
19212,625,1
19217,626,1
19220,627,1
19223,628,1
19227,629,1
19230,630,1
19244,631,1
19246,632,1
19247,633,1
19297,634,0
19300,635,1
19305,636,1
19309,637,1
19321,638,1
19329,639,1
19332,640,1
19336,641,1
19342,642,1
19392,643,0
19398,644,1
19400,645,1
19406,646,1
19411,647,1
19443,648,1
19493,649,0
19501,650,1
19551,651,0
19601,652,0
19610,653,1
19660,654,0
19662,655,1
19664,656,1
19667,657,1
19671,658,1
19721,659,0
19771,660,0
19778,661,1
19814,662,1
19816,663,1
19826,664,1
19846,665,1
19852,666,1
19857,667,1
19907,668,0
19911,669,1
19915,670,1
19937,671,1
19950,672,1
19961,673,1
19968,674,1
20018,675,0
20024,676,1
20039,677,1
20042,678,1
20076,679,1
20082,680,1
20088,681,1
20138,682,0
20142,683,1
20192,684,0
20196,685,1
20198,686,1
20207,687,1
20211,688,1
20261,689,0
20265,690,1
20270,691,1
20320,692,0
20322,693,1
20333,694,1
20366,695,1
20416,696,0
20432,697,1
20439,698,1
20441,699,1
20491,700,0
20492,701,1
20502,702,1
20552,703,0
20553,704,1
20575,705,1
20625,706,0
20627,707,1
20647,708,1
20652,709,1
20702,710,0
20707,711,1
20712,712,1
20715,713,1
20718,714,1
20722,715,1
20772,716,0
20776,717,1
20778,718,1
20828,719,0
20878,720,0
20881,721,1
20931,722,0
20936,723,1
20949,724,1
20952,725,1
20956,726,1
20960,727,1
20963,728,1
21013,729,0
21017,730,1
21067,731,0
21070,732,1
21074,733,1
21124,734,0
21174,735,0
21177,736,1
21186,737,1
21197,738,1
21205,739,1
21237,740,1
21240,741,1
21245,742,1
21249,743,1
21266,744,1
21268,745,1
21274,746,1
21283,747,1
21288,748,1
21292,749,1
21303,750,1
21316,751,1
21319,752,1
21326,753,1
21331,754,1
21342,755,1
21358,756,1
21360,757,1
21410,758,0
21413,759,1
21416,760,1
21466,761,0
21474,762,1
21479,763,1
21484,764,1
21486,765,1
21489,766,1
21496,767,1
21546,768,0
21549,769,1
21552,770,1
21602,771,0
21606,772,1
21609,773,1
21611,774,1
21622,775,1
21625,776,1
21629,777,1
21633,778,1
21640,779,1
21690,780,0
21692,781,1
21698,782,1
21716,783,1
21718,784,1
21722,785,1
21724,786,1
21731,787,1
21739,788,1
21789,789,0
21795,790,1
21802,791,1
21806,792,1
21808,793,1
21812,794,1
21815,795,1
21825,796,1
21833,797,1
21839,798,1
21887,799,1
21891,800,1
21897,801,1
21900,802,1
21908,803,1
21913,804,1
21917,805,1
21923,806,1
21973,807,0
21978,808,1
21999,809,1
22001,810,1
22007,811,1
22036,812,1
22039,813,1
22040,814,1
22046,815,1
22047,816,1
22057,817,1
22061,818,1
22064,819,1
22073,820,1
22074,821,1
22079,822,1
22082,823,1
22085,824,1
22096,825,1
22099,826,1
22101,827,1
22103,828,1
22109,829,1
22114,830,1
22125,831,1
22138,832,1
22140,833,1
22159,834,1
22209,835,0
22213,836,1
22216,837,1
22227,838,1
22243,839,1
22246,840,1
22296,841,0
22300,842,1
22311,843,1
22319,844,1
22337,845,1
22341,846,1
22344,847,1
22348,848,1
22351,849,1
22354,850,1
22357,851,1
22361,852,1
22365,853,1
22367,854,1
22371,855,1
22373,856,1
22423,857,0
22473,858,0
22476,859,1
22482,860,1
22485,861,1
22491,862,1
22495,863,1
22503,864,1
22506,865,1
22509,866,1
22515,867,1
22519,868,1
22569,869,0
22572,870,1
22574,871,1
22624,872,0
22629,873,1
22679,874,0
22683,875,1
22694,876,1
22699,877,1
22703,878,1
22708,879,1
22758,880,0
