#{"t_start": 1755965729.7466593, "env_id": "PandaReach-v3"}
r,l,t
-1.0,2,219.891023
-50.0,50,221.000865
-11.0,12,221.270648
0.0,1,221.294215
-50.0,50,222.280331
-1.0,2,222.322683
-49.0,50,223.348588
-50.0,50,224.32409
-50.0,50,225.32686
-50.0,50,226.443975
-50.0,50,227.407767
-1.0,2,227.444355
-2.0,3,227.501462
-50.0,50,228.569407
0.0,1,228.592572
-1.0,2,228.637728
-7.0,8,228.816984
-3.0,4,228.895859
-7.0,8,229.041296
-50.0,50,229.984272
-50.0,50,231.093861
-50.0,50,232.136508
-50.0,50,233.073418
-50.0,50,234.119968
-50.0,50,235.086108
-50.0,50,236.293674
-50.0,50,237.325562
-41.0,42,238.138245
-50.0,50,239.303549
-1.0,2,239.357533
-50.0,50,240.368079
-50.0,50,241.347739
-7.0,8,241.527022
-3.0,4,241.625798
-50.0,50,242.584637
-6.0,7,242.71198
-12.0,13,242.950367
-50.0,50,244.085185
-4.0,5,244.19525
-50.0,50,245.245052
-2.0,3,245.298505
-50.0,50,246.267209
-50.0,50,247.296925
-50.0,50,248.251432
-50.0,50,249.349104
-50.0,50,250.384387
-50.0,50,251.339644
-50.0,50,252.446831
-50.0,50,253.463051
-50.0,50,254.444269
-9.0,10,254.665948
-50.0,50,255.640427
-33.0,34,256.288536
-50.0,50,257.405119
-50.0,50,258.436523
-50.0,50,259.395638
-50.0,50,260.520515
-50.0,50,261.547354
-50.0,50,262.506186
-4.0,5,262.618523
-8.0,9,262.815061
-4.0,5,262.934533
-50.0,50,264.077191
-2.0,3,264.14841
0.0,1,264.172021
-15.0,16,264.467004
-50.0,50,265.441601
-6.0,7,265.594312
-20.0,21,266.069277
-50.0,50,267.223544
-10.0,11,267.421803
-50.0,50,268.385273
-1.0,2,268.430666
-50.0,50,269.490977
-4.0,5,269.579572
-11.0,12,269.793437
-50.0,50,270.801214
-2.0,3,270.877634
-50.0,50,271.87397
-37.0,38,272.6381
-50.0,50,273.669891
-2.0,3,273.732849
-2.0,3,273.787629
-1.0,2,273.823793
-9.0,10,274.004025
-33.0,34,274.724672
-2.0,3,274.792549
-50.0,50,275.946968
-15.0,16,276.299876
-50.0,50,277.204482
-21.0,22,277.683513
-50.0,50,278.80622
-26.0,27,279.393018
-50.0,50,280.334281
-50.0,50,281.460628
-20.0,21,281.922843
-11.0,12,282.18976
0.0,1,282.21827
-5.0,6,282.351157
-49.0,50,283.254856
-34.0,35,284.025511
-50.0,50,285.194962
-7.0,8,285.375501
-50.0,50,286.273551
-8.0,9,286.443638
-50.0,50,287.546241
-50.0,50,288.448743
-7.0,8,288.628103
-20.0,21,289.094781
-5.0,6,289.235025
-5.0,6,289.366756
-50.0,50,290.498135
-50.0,50,291.398833
-11.0,12,291.659304
-39.0,40,292.547274
-6.0,7,292.703141
-10.0,11,292.948502
-7.0,8,293.134013
-22.0,23,293.618913
-32.0,33,294.222002
-6.0,7,294.348727
-50.0,50,295.470423
-10.0,11,295.715039
-2.0,3,295.780997
-7.0,8,296.782134
-4.0,5,296.883527
-13.0,14,297.140659
-3.0,4,297.213894
-2.0,3,297.267102
-17.0,18,297.612061
-17.0,18,298.034691
-13.0,14,298.349186
-19.0,20,298.7455
-50.0,50,299.737766
-3.0,4,299.833002
0.0,1,299.860629
-50.0,50,300.995775
-6.0,7,301.277968
-3.0,4,301.380162
-1.0,2,301.42904
-50.0,50,302.646756
-50.0,50,303.661577
-10.0,11,303.942914
-2.0,3,304.014639
-8.0,9,304.222672
-6.0,7,304.399317
-50.0,50,305.554958
-2.0,3,305.622107
-50.0,50,306.527056
-1.0,2,306.575599
-50.0,50,307.757035
-5.0,6,307.898209
-2.0,3,307.966798
-50.0,50,309.044025
-3.0,4,309.122979
-50.0,50,310.131385
-11.0,12,310.395418
-2.0,3,310.476354
0.0,1,310.500632
-10.0,11,310.754877
-17.0,18,311.178554
-1.0,2,311.236089
-10.0,11,311.48433
-1.0,2,311.52985
-48.0,49,312.502812
-23.0,24,313.032061
-1.0,2,313.081284
-50.0,50,314.268816
-2.0,3,314.335134
-1.0,2,314.392556
-50.0,50,315.411311
-1.0,2,315.450015
-1.0,2,315.488002
-6.0,7,315.636564
-3.0,4,315.716017
-27.0,28,316.366268
-3.0,4,316.459756
-3.0,4,316.564873
-9.0,10,316.792638
-50.0,50,317.93941
-2.0,3,317.992841
-50.0,50,318.99009
-50.0,50,320.116608
-5.0,6,320.254695
-9.0,10,320.477722
-50.0,50,321.537405
-21.0,22,321.992648
-18.0,19,322.414701
-40.0,41,323.360856
-13.0,14,323.692209
-15.0,16,324.021373
-50.0,50,325.084584
-50.0,50,326.200556
-50.0,50,327.250108
-50.0,50,328.259088
-50.0,50,329.369661
-1.0,2,329.414916
-50.0,50,330.466992
-50.0,50,331.497551
-50.0,50,332.613414
-2.0,3,332.679258
-4.0,5,332.807337
-33.0,34,333.466372
-50.0,50,334.509342
-50.0,50,335.628627
-50.0,50,336.656452
-50.0,50,337.735772
-50.0,50,338.862379
-50.0,50,339.812425
-4.0,5,339.924874
-50.0,50,341.105356
-5.0,6,341.24685
-3.0,4,341.337596
-50.0,50,342.421305
-3.0,4,342.495464
-12.0,13,342.744777
-25.0,26,343.259405
-6.0,7,343.430311
-50.0,50,344.582904
-10.0,11,344.831679
-6.0,7,344.985153
-8.0,9,345.173966
-50.0,50,346.134293
-21.0,22,346.641981
-10.0,11,346.888818
-3.0,4,346.990316
-21.0,22,347.497079
-50.0,50,348.561532
-5.0,6,348.669919
-8.0,9,348.854463
-50.0,50,349.958281
-4.0,5,350.076537
-50.0,50,351.197054
-19.0,20,351.585883
-50.0,50,352.637994
-3.0,4,352.726806
-2.0,3,352.792846
-8.0,9,353.013159
-2.0,3,353.079902
-3.0,4,353.169938
-3.0,4,353.257522
-1.0,2,353.309096
-36.0,37,354.162802
-50.0,50,355.122401
-14.0,15,355.451652
-50.0,50,356.642315
-10.0,11,356.898293
-9.0,10,357.121483
-13.0,14,357.378511
-7.0,8,357.545184
-8.0,9,357.715034
-2.0,3,357.768378
0.0,1,357.787764
-5.0,6,357.90166
-8.0,9,358.065837
-1.0,2,358.103195
