#{"t_start": 1756043710.4567063, "env_id": "PandaPush-v3"}
r,l,t
0.0,1,346.526471
-50.0,50,347.991575
-50.0,50,349.431276
-50.0,50,351.032306
-50.0,50,352.560635
-50.0,50,354.072216
-50.0,50,355.570741
-50.0,50,357.135377
-50.0,50,358.640122
-50.0,50,360.155145
-50.0,50,361.731915
0.0,1,364.035912
-50.0,50,365.760205
-50.0,50,367.400616
-50.0,50,368.920493
-50.0,50,370.423146
-50.0,50,371.897753
-50.0,50,373.419524
0.0,1,373.449661
-50.0,50,374.909619
-50.0,50,376.387079
-50.0,50,378.01354
-50.0,50,379.676866
0.0,1,379.72451
-50.0,50,381.405232
0.0,1,381.437295
-50.0,50,383.142923
-50.0,50,384.753963
-50.0,50,386.514981
-50.0,50,387.896225
0.0,1,387.926124
-50.0,50,389.391794
-50.0,50,390.857867
-50.0,50,392.372729
-50.0,50,393.973396
-50.0,50,395.475895
-50.0,50,397.415116
-50.0,50,398.971053
-50.0,50,400.589598
-50.0,50,402.192036
-50.0,50,403.844137
-50.0,50,405.673839
-50.0,50,407.425133
-50.0,50,409.41214
-50.0,50,411.286482
-50.0,50,413.564418
-50.0,50,415.642198
-50.0,50,417.229121
-50.0,50,418.529817
-50.0,50,419.88703
-50.0,50,421.374558
-50.0,50,422.659633
-50.0,50,423.947658
-50.0,50,425.662404
-50.0,50,427.350118
-50.0,50,428.74811
-50.0,50,430.162495
-50.0,50,431.565512
-50.0,50,433.050505
-50.0,50,434.459347
-50.0,50,435.753829
-50.0,50,437.208229
-50.0,50,438.544114
0.0,1,438.576464
-50.0,50,439.839425
-50.0,50,441.091017
-50.0,50,442.328755
-50.0,50,443.91739
0.0,1,443.954648
-50.0,50,445.67073
-50.0,50,447.179563
-50.0,50,448.71115
-50.0,50,449.985567
-50.0,50,451.256121
-50.0,50,452.635425
-50.0,50,454.02523
-50.0,50,455.451221
-50.0,50,457.268091
-50.0,50,459.081211
-50.0,50,460.44601
-50.0,50,461.757153
-50.0,50,463.148233
-50.0,50,464.574407
-50.0,50,466.257119
-50.0,50,467.67828
-50.0,50,469.104175
-50.0,50,470.479342
-50.0,50,471.794603
-50.0,50,473.199304
-50.0,50,474.536557
-50.0,50,475.88887
-50.0,50,477.241175
-50.0,50,478.621306
-50.0,50,479.956933
-50.0,50,481.704323
-50.0,50,483.141399
-50.0,50,484.492011
-50.0,50,485.794955
-50.0,50,487.09664
-50.0,50,488.487747
-50.0,50,489.876301
-50.0,50,491.480469
-50.0,50,493.004069
-50.0,50,494.72081
-50.0,50,496.385225
-50.0,50,498.583123
-50.0,50,500.548691
-50.0,50,501.933278
-50.0,50,503.270686
-50.0,50,504.713923
-50.0,50,506.237184
-50.0,50,507.948155
-50.0,50,509.219844
0.0,1,509.245699
-50.0,50,510.584481
-50.0,50,511.881852
0.0,1,511.907986
-50.0,50,513.286838
-50.0,50,514.625113
-50.0,50,516.19935
-50.0,50,517.775632
-50.0,50,519.237442
0.0,1,519.276113
-50.0,50,520.905368
-50.0,50,522.2949
-50.0,50,523.955641
-50.0,50,525.406997
-50.0,50,526.979542
-50.0,50,528.47969
-50.0,50,530.002849
-50.0,50,531.418829
-50.0,50,532.960028
-50.0,50,534.39942
-50.0,50,535.917528
-50.0,50,537.477268
-50.0,50,538.998353
-50.0,50,540.479913
-50.0,50,541.987169
0.0,1,542.014297
-50.0,50,543.417367
-50.0,50,544.88147
-50.0,50,546.284971
-50.0,50,547.88817
-50.0,50,549.553309
-50.0,50,551.060233
-50.0,50,552.734002
-50.0,50,554.693442
-50.0,50,556.532541
-50.0,50,558.23523
-50.0,50,559.913459
-50.0,50,561.645136
-50.0,50,563.644788
-50.0,50,565.576801
-50.0,50,566.994812
-50.0,50,568.988754
-50.0,50,570.329924
-50.0,50,571.818898
-50.0,50,573.56867
-50.0,50,575.079186
-50.0,50,576.806511
-50.0,50,578.432961
-50.0,50,580.284415
-50.0,50,581.915808
-50.0,50,583.592221
-50.0,50,585.234319
-50.0,50,586.996436
-50.0,50,588.954931
-50.0,50,590.335258
0.0,1,590.361891
-50.0,50,591.676271
-50.0,50,592.985846
-50.0,50,594.361624
0.0,1,594.387858
-50.0,50,595.692299
-19.0,20,596.212626
-50.0,50,597.549309
-50.0,50,598.821927
-50.0,50,600.121834
-50.0,50,601.534013
-50.0,50,602.847857
-50.0,50,604.217727
-50.0,50,605.835273
-50.0,50,607.158115
-50.0,50,608.481611
-50.0,50,609.804747
-50.0,50,611.143463
-50.0,50,612.42575
-50.0,50,613.756457
-50.0,50,615.06908
-50.0,50,616.332733
-50.0,50,617.687654
-50.0,50,618.989688
-50.0,50,620.271057
0.0,1,620.300329
-50.0,50,621.702176
-50.0,50,623.182734
-50.0,50,624.559897
0.0,1,624.586357
-50.0,50,625.900142
-50.0,50,627.211163
-50.0,50,628.514055
-50.0,50,629.833166
-50.0,50,631.13711
-50.0,50,632.437991
-50.0,50,633.734691
-50.0,50,635.035397
-50.0,50,636.396845
-50.0,50,637.716118
-50.0,50,639.080086
-50.0,50,640.404523
-50.0,50,641.761909
-50.0,50,643.218852
-50.0,50,644.717901
-50.0,50,646.285819
-50.0,50,647.901103
-50.0,50,649.634178
0.0,1,649.663227
-50.0,50,651.233869
-50.0,50,652.590447
-50.0,50,653.935199
-50.0,50,655.479134
-50.0,50,656.889721
-50.0,50,658.190877
-50.0,50,659.60092
-50.0,50,661.112642
0.0,1,661.143396
-50.0,50,662.553689
-50.0,50,664.148027
-50.0,50,665.698892
0.0,1,665.725239
-50.0,50,667.023656
-50.0,50,668.410662
-50.0,50,669.748773
-50.0,50,671.043728
-12.0,13,671.386279
-50.0,50,672.733187
-50.0,50,674.124178
-50.0,50,675.4372
-50.0,50,676.785408
0.0,1,676.822003
-50.0,50,678.287299
-50.0,50,680.053797
-50.0,50,681.579971
